Series ID,Year,Period,Label,Value
APU0000708111,1980,M01,1980 Jan,0.879
APU0000708111,1980,M02,1980 Feb,0.774
APU0000708111,1980,M03,1980 Mar,0.812
APU0000708111,1980,M04,1980 Apr,0.797
APU0000708111,1980,M05,1980 May,0.737
APU0000708111,1980,M06,1980 Jun,0.731
APU0000708111,1980,M07,1980 Jul,0.776
APU0000708111,1980,M08,1980 Aug,0.907
APU0000708111,1980,M09,1980 Sep,0.898
APU0000708111,1980,M10,1980 Oct,0.867
APU0000708111,1980,M11,1980 Nov,0.917
APU0000708111,1980,M12,1980 Dec,1.031
APU0000708111,1981,M01,1981 Jan,0.943
APU0000708111,1981,M02,1981 Feb,0.924
APU0000708111,1981,M03,1981 Mar,0.875
APU0000708111,1981,M04,1981 Apr,0.904
APU0000708111,1981,M05,1981 May,0.836
APU0000708111,1981,M06,1981 Jun,0.852
APU0000708111,1981,M07,1981 Jul,0.860
APU0000708111,1981,M08,1981 Aug,0.868
APU0000708111,1981,M09,1981 Sep,0.915
APU0000708111,1981,M10,1981 Oct,0.898
APU0000708111,1981,M11,1981 Nov,0.943
APU0000708111,1981,M12,1981 Dec,0.966
APU0000708111,1982,M01,1982 Jan,0.925
APU0000708111,1982,M02,1982 Feb,1.007
APU0000708111,1982,M03,1982 Mar,0.952
APU0000708111,1982,M04,1982 Apr,0.896
APU0000708111,1982,M05,1982 May,0.842
APU0000708111,1982,M06,1982 Jun,0.783
APU0000708111,1982,M07,1982 Jul,0.851
APU0000708111,1982,M08,1982 Aug,0.778
APU0000708111,1982,M09,1982 Sep,0.852
APU0000708111,1982,M10,1982 Oct,0.854
APU0000708111,1982,M11,1982 Nov,0.849
APU0000708111,1982,M12,1982 Dec,0.813
APU0000708111,1983,M01,1983 Jan,0.821
APU0000708111,1983,M02,1983 Feb,0.794
APU0000708111,1983,M03,1983 Mar,0.836
APU0000708111,1983,M04,1983 Apr,0.825
APU0000708111,1983,M05,1983 May,0.865
APU0000708111,1983,M06,1983 Jun,0.825
APU0000708111,1983,M07,1983 Jul,0.847
APU0000708111,1983,M08,1983 Aug,0.884
APU0000708111,1983,M09,1983 Sep,0.938
APU0000708111,1983,M10,1983 Oct,0.962
APU0000708111,1983,M11,1983 Nov,0.996
APU0000708111,1983,M12,1983 Dec,1.131
APU0000708111,1984,M01,1984 Jan,1.301
APU0000708111,1984,M02,1984 Feb,1.324
APU0000708111,1984,M03,1984 Mar,1.153
APU0000708111,1984,M04,1984 Apr,1.199
APU0000708111,1984,M05,1984 May,1.054
APU0000708111,1984,M06,1984 Jun,0.903
APU0000708111,1984,M07,1984 Jul,0.876
APU0000708111,1984,M08,1984 Aug,0.860
APU0000708111,1984,M09,1984 Sep,0.854
APU0000708111,1984,M10,1984 Oct,0.842
APU0000708111,1984,M11,1984 Nov,0.823
APU0000708111,1984,M12,1984 Dec,0.867
APU0000708111,1985,M01,1985 Jan,0.746
APU0000708111,1985,M02,1985 Feb,0.784
APU0000708111,1985,M03,1985 Mar,0.790
APU0000708111,1985,M04,1985 Apr,0.783
APU0000708111,1985,M05,1985 May,0.745
APU0000708111,1985,M06,1985 Jun,0.724
APU0000708111,1985,M07,1985 Jul,0.787
APU0000708111,1985,M08,1985 Aug,0.789
APU0000708111,1985,M09,1985 Sep,0.857
APU0000708111,1985,M10,1985 Oct,0.860
APU0000708111,1985,M11,1985 Nov,0.872
APU0000708111,1985,M12,1985 Dec,0.906
APU0000708111,1986,M01,1986 Jan,0.901
APU0000708111,1986,M02,1986 Feb,0.866
APU0000708111,1986,M03,1986 Mar,0.887
APU0000708111,1986,M04,1986 Apr,0.890
APU0000708111,1986,M05,1986 May,0.820
APU0000708111,1986,M06,1986 Jun,0.795
APU0000708111,1986,M07,1986 Jul,0.833
APU0000708111,1986,M08,1986 Aug,0.913
APU0000708111,1986,M09,1986 Sep,0.868
APU0000708111,1986,M10,1986 Oct,0.855
APU0000708111,1986,M11,1986 Nov,0.897
APU0000708111,1986,M12,1986 Dec,0.910
APU0000708111,1987,M01,1987 Jan,0.862
APU0000708111,1987,M02,1987 Feb,0.823
APU0000708111,1987,M03,1987 Mar,0.800
